"Holdings and weightings as of 7:28 PM ET 06/16/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ABBV","AbbVie Inc.","4.52%","95.91","-0.15","-0.16%","4.27 M","62.55 - 99.35",
"ABC","AmerisourceBergen Corp","0.40%","99.90","+0.79","+0.80%","430.62 K","72.06 - 102.99",
"ABT","Abbott Laboratories","4.23%","91.45","+1.71","+1.91%","2.34 M","61.61 - 100.00",
"ALXN","Alexion Pharmaceuticals Inc","0.67%","115.90","+2.50","+2.20%","913.92 K","72.67 - 134.84",
"AMGN","Amgen Inc","3.60%","227.15","+0.28","+0.12%","1.14 M","173.12 - 244.99",
"A","Agilent Technologies Inc","0.72%","87.96","+0.52","+0.59%","453.27 K","61.13 - 93.04",
"BAX","Baxter Intl Inc","1.16%","85.40","+0.41","+0.48%","1.21 M","69.10 - 95.19",
"BDX","Becton Dickinson & Co","1.86%","238.41","+1.95","+0.82%","634.09 K","197.75 - 286.72",
"BIIB","Biogen Inc","1.36%","283.39","+1.27","+0.45%","1.40 M","215.78 - 374.99",
"BMY","Bristol-Myers Squibb","3.57%","57.05","-0.01","-0.02%","8.79 M","42.48 - 68.34",
"BSX","Boston Scientific Corp","1.37%","36.91","+0.21","+0.56%","4.98 M","24.10 - 46.62",
"CAH","Cardinal Health Inc","0.43%","54.10","-0.40","-0.73%","1.04 M","39.05 - 60.69",
"CERN","Cerner Corp","0.58%","69.76","+0.32","+0.46%","1.28 M","53.08 - 80.90",
"CI","Cigna Corporation","1.92%","192.87","-0.16","-0.08%","687.44 K","118.50 - 224.64",
"DGX","Quest Diagnostics","0.41%","114.19","+0.32","+0.28%","509.29 K","73.02 - 125.00",
"DVA","DaVita Inc","0.19%","79.30","+0.33","+0.42%","539.68 K","48.50 - 90.15",
"EW","Edwards Lifesciences Corp","1.17%","69.89","-0.32","-0.46%","2.14 M","51.51 - 82.55",
"GILD","Gilead Sciences Inc","2.52%","74.02","-0.61","-0.81%","4.40 M","60.89 - 85.97",
"HUM","Humana Inc","1.34%","381.76","+3.76","+0.99%","618.75 K","208.25 - 412.70",
"ISRG","Intuitive Surgical Inc","1.77%","581.18","+6.11","+1.06%","225.58 K","360.50 - 619.00",
"JNJ","Johnson & Johnson","10.15%","144.43","-0.04","-0.02%","3.07 M","109.16 - 157.00",
"LH","Lab Corp of America Hldgs","0.45%","171.75","-1.97","-1.13%","278.52 K","98.02 - 196.36",
"LLY","Eli Lilly & Co","3.69%","160.29","-3.42","-2.09%","3.30 M","101.36 - 167.43",
"MCK","McKesson Corp","0.67%","155.30","-1.03","-0.66%","397.96 K","112.60 - 172.18",
"MDT","Medtronic plc","3.42%","96.09","+0.54","+0.57%","4.18 M","72.13 - 122.15",
