"Holdings and weightings as of 5:48 PM ET 05/06/2020",
"Symbol","Company Name","Index Weight","Last","Change","%Change","Volume","52 Week Range",
"ABBV","AbbVie Inc.","3.44%","84.65","-0.77","-0.90%","5.98 M","62.55 - 97.86",
"ABC","AmerisourceBergen Corp","0.35%","89.46","+3.96","+4.63%","637.80 K","72.06 - 97.50",
"ABT","Abbott Laboratories","4.38%","93.95","+2.87","+3.15%","3.16 M","61.61 - 100.00",
"ALXN","Alexion Pharmaceuticals Inc","0.58%","97.63","+0.79","+0.82%","862.53 K","72.67 - 136.52",
"AMGN","Amgen Inc","3.82%","235.13","-1.46","-0.62%","949.93 K","166.30 - 244.99",
"A","Agilent Technologies Inc","0.66%","79.06","+1.19","+1.53%","457.22 K","61.13 - 90.64",
"BAX","Baxter Intl Inc","1.22%","88.68","+0.76","+0.86%","448.15 K","69.10 - 95.19",
"BDX","Becton Dickinson & Co","1.91%","259.40","+0.27","+0.10%","654.14 K","197.75 - 286.72",
"BIIB","Biogen Inc","1.51%","317.13","+10.35","+3.37%","781.05 K","215.78 - 374.99",
"BMY","Bristol-Myers Squibb","3.90%","61.54","+0.41","+0.66%","7.95 M","42.48 - 68.34",
"BSX","Boston Scientific Corp","1.36%","37.00","+1.11","+3.09%","4.22 M","24.10 - 46.62",
"CAH","Cardinal Health Inc","0.38%","48.87","+1.47","+3.10%","1.08 M","39.05 - 60.69",
"CERN","Cerner Corp","0.57%","67.18","+0.29","+0.43%","759.59 K","53.08 - 80.90",
"CI","Cigna Corporation","1.86%","186.62","+3.19","+1.74%","367.16 K","118.50 - 224.64",
"DGX","Quest Diagnostics","0.39%","107.45","+0.04","+0.04%","449.06 K","73.02 - 125.00",
"DVA","DaVita Inc","0.20%","80.44","-1.91","-2.32%","604.68 K","43.40 - 90.15",
"EW","Edwards Lifesciences Corp","1.21%","218.90","+5.19","+2.43%","324.42 K","154.52 - 247.64",
"GILD","Gilead Sciences Inc","2.67%","78.07","+0.60","+0.77%","8.00 M","60.89 - 85.97",
"HUM","Humana Inc","1.35%","377.84","+2.85","+0.76%","277.10 K","208.25 - 392.58",
"ISRG","Intuitive Surgical Inc","1.61%","531.25","+19.40","+3.79%","345.01 K","360.50 - 619.00",
"JNJ","Johnson & Johnson","10.60%","148.59","+0.51","+0.34%","2.62 M","109.16 - 157.00",
"LH","Lab Corp of America Hldgs","0.42%","160.93","+1.83","+1.15%","230.99 K","98.02 - 196.36",
"LLY","Eli Lilly & Co","3.60%","155.56","-1.12","-0.71%","1.03 M","101.36 - 164.90",
"MCK","McKesson Corp","0.58%","135.63","+3.77","+2.86%","618.20 K","112.60 - 172.18",
"MDT","Medtronic plc","3.53%","99.72","+2.96","+3.06%","1.89 M","72.13 - 122.15",
"MRK","Merck & Co Inc","5.34%","76.68","-0.44","-0.57%","5.81 M","65.25 - 92.64",
"MYL","Mylan NV","0.24%","17.25","+0.38","+2.25%","2.31 M","12.75 - 26.95",
"PFE","Pfizer Inc","5.80%","37.48","-0.65","-1.70%","14.46 M","27.88 - 44.56",
"PKI","PerkinElmer Inc","0.28%","93.83","+0.57","+0.61%","439.21 K","62.91 - 102.46",
"PRGO","Perrigo Company plc","0.19%","52.12","-0.20","-0.38%","397.82 K","40.01 - 63.86",
"REGN","Regeneron Pharmaceuticals Inc","1.20%","568.50","+15.00","+2.71%","605.48 K","271.37 - 581.00",
"SYK","Stryker Corp","1.63%","192.36","+6.52","+3.51%","1.17 M","124.54 - 226.30",
"TMO","Thermo Fisher Scientific","3.66%","341.71","+6.56","+1.96%","681.65 K","250.21 - 346.89",
"UNH","Unitedhealth Group Inc","7.44%","289.38","+0.61","+0.21%","1.31 M","187.72 - 306.72",
"VAR","Varian Medical Systems Inc","0.29%","117.62","+1.56","+1.34%","389.93 K","89.62 - 150.06",
"VRTX","Vertex Pharmaceuticals Inc","1.89%","272.35","+2.29","+0.85%","577.25 K","164.07 - 277.80",
"WAT","Waters Corp","0.32%","186.99","+1.96","+1.06%","238.74 K","154.39 - 245.68",
"XRAY","Dentsply Sirona Inc.","0.24%","41.41","+1.07","+2.65%","1.09 M","31.58 - 60.87",
"ZTS","Zoetis Inc","1.63%","124.87","-0.82","-0.65%","1.51 M","90.14 - 146.26",
"UHS","Universal Health Services B","0.21%","97.99","+2.39","+2.50%","206.42 K","65.20 - 157.79",
"ANTM","Anthem Inc","1.87%","270.38","-0.25","-0.09%","351.51 K","171.03 - 312.48",
"HCA","HCA Healthcare Inc","0.72%","103.33","+3.85","+3.87%","827.57 K","58.38 - 151.97",
"HSIC","Henry Schein Inc","0.21%","53.76","+1.07","+2.02%","861.20 K","41.85 - 73.99",
"AGN","Allergan plc","1.73%","193.41","-0.48","-0.25%","2.25 M","114.27 - 202.22",
"ZBH","Zimmer Biomet Holdings Inc","0.65%","120.61","+4.73","+4.08%","615.36 K","74.37 - 161.11",
"ILMN","Illumina Inc","1.26%","316.80","+1.76","+0.56%","271.39 K","196.78 - 380.76",
"CNC","Centene Corp","1.04%","65.93","+0.43","+0.66%","1.04 M","41.62 - 74.70",
"HOLX","Hologic Inc","0.38%","52.69","+0.68","+1.31%","1.44 M","26.49 - 55.25",
"DHR","Danaher Corp","2.85%","162.47","-1.51","-0.92%","3.71 M","119.60 - 170.64",
"MTD","Mettler-Toledo Intl","0.47%","742.18","+26.60","+3.72%","64.62 K","579.40 - 873.51",
"COO","Cooper Companies Inc","0.40%","303.54","+8.58","+2.91%","87.09 K","236.68 - 365.68",
"IDXX","IDEXX Laboratories Inc","0.66%","293.22","+9.63","+3.40%","242.68 K","168.65 - 296.25",
"INCY","Incyte Corp","0.47%","97.41","+1.33","+1.38%","518.67 K","62.48 - 104.81",
"ALGN","Align Technology Inc","0.42%","219.50","+3.57","+1.65%","515.72 K","127.88 - 334.64",
"RMD","ResMed Inc","0.63%","161.43","+1.50","+0.94%","216.86 K","108.85 - 177.99",
"IQV","IQVIA Holdings Inc","0.66%","137.37","+3.36","+2.51%","349.95 K","81.79 - 169.14",
"CVS","CVS Health Corporation","2.14%","61.65","+1.24","+2.04%","5.19 M","51.72 - 77.03",
"ABMD","Abiomed Inc","0.23%","191.23","+4.32","+2.31%","269.01 K","119.01 - 285.77",
"TFX","Teleflex Inc","0.42%","346.12","+9.41","+2.79%","51.65 K","221.27 - 398.65",
"STE","STERIS plc","0.33%","143.98","+2.99","+2.12%","342.65 K","105.69 - 168.98",
